end_id,end_label,start_id,start_label,rel_id,surface_text,weight,dataset
/c/en/help_child,help a child,/c/en/adult,an adult,/r/CapableOf,[[an adult]] can [[help a child]],3.4641016151377544,/d/conceptnet/4/en
/c/en/adult,adult,/c/en/man,man,/r/RelatedTo,[[man]] is related to [[adult]],3.062025473440742,/d/verbosity
/c/en/sign_contract,sign a contract,/c/en/adult,an adult,/r/CapableOf,[[an adult]] can [[sign a contract]],2.82842712474619,/d/conceptnet/4/en
/c/en/dress_herself,dress herself,/c/en/adult,An adult,/r/CapableOf,[[An adult]] can [[dress herself]],2.82842712474619,/d/conceptnet/4/en
/c/en/adult,adult,/c/en/sheep,sheep,/r/RelatedTo,[[sheep]] is related to [[adult]],2.6199236630100504,/d/verbosity
/c/en/adult/n/wn/person,adult,/c/en/fascist/n/wn/person,fascist,/r/IsA,[[fascist]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/adult/n/wn/person,adult,/c/en/man/n/wn/person,man,/r/IsA,[[man]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/adult/n/wn/person,adult,/c/en/stay_at_home/n/wn/person,stay-at-home,/r/IsA,[[stay-at-home]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/drink_beer,drink beer,/c/en/adult,an adult,/r/CapableOf,[[an adult]] can [[drink beer]],2.0,/d/conceptnet/4/en
/c/en/adult/n/wn/person,adult,/c/en/character/n/wn/person,character,/r/IsA,[[character]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/adult,adult,/c/en/grown_up/a,grown up,/r/RelatedTo,,2.0,/d/wiktionary/en
/c/en/adult/n/wn/person,adult,/c/en/pacifist/n/wn/person,pacifist,/r/IsA,[[pacifist]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/adult/n/wn/person,adult,/c/en/elder/n/wn/person,elder,/r/IsA,[[elder]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/adult/n/wn/person,adult,/c/en/caregiver/n/wn/person,caregiver,/r/IsA,[[caregiver]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/adult/n/wn/person,adult,/c/en/dolichocephalic/n/wn/person,dolichocephalic,/r/IsA,[[dolichocephalic]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/adult/n/wn/person,adult,/c/en/oldster/n/wn/person,oldster,/r/IsA,[[oldster]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/adult/n/wn/person,adult,/c/en/patrician/n/wn/person,patrician,/r/IsA,[[patrician]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/work,work,/c/en/adult,adult,/r/CapableOf,An activity [[adult]] can do is [[work]],2.0,/d/conceptnet/4/en
/c/en/adult/n/wn/person,adult,/c/en/militarist/n/wn/person,militarist,/r/IsA,[[militarist]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/adult/n/wn/person,adult,/c/en/woman/n/wn/person,woman,/r/IsA,[[woman]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/person/n/wn,person,/c/en/adult/n/wn/person,adult,/r/IsA,[[adult]] is a type of [[person]],2.0,/d/wordnet/3.1
